ImageFileName    Left_Edge_Longitude    Right_Edge_Longitude   Top_Edge_Latitude      Bottom_Edge_Latitude
0/32.png:  -180.00000000000000  -177.18750000000000    66.51326044311186    65.36683689226321
0/33.png:  -180.00000000000000  -177.18750000000000    65.36683689226321    64.16810689799152
0/34.png:  -180.00000000000000  -177.18750000000000    64.16810689799152    62.91523303947613
0/35.png:  -180.00000000000000  -177.18750000000000    62.91523303947613    61.60639637138628
0/36.png:  -180.00000000000000  -177.18750000000000    61.60639637138628    60.23981116999892
0/37.png:  -180.00000000000000  -177.18750000000000    60.23981116999892    58.81374171570782
0/38.png:  -180.00000000000000  -177.18750000000000    58.81374171570782    57.32652122521708
0/39.png:  -180.00000000000000  -177.18750000000000    57.32652122521708    55.77657301866770
0/40.png:  -180.00000000000000  -177.18750000000000    55.77657301866770    54.16243396806779
0/41.png:  -180.00000000000000  -177.18750000000000    54.16243396806779    52.48278022207820
0/42.png:  -180.00000000000000  -177.18750000000000    52.48278022207820    50.73645513701065
0/43.png:  -180.00000000000000  -177.18750000000000    50.73645513701065    48.92249926375823
0/44.png:  -180.00000000000000  -177.18750000000000    48.92249926375823    47.04018214480666
0/45.png:  -180.00000000000000  -177.18750000000000    47.04018214480666    45.08903556483102
0/46.png:  -180.00000000000000  -177.18750000000000    45.08903556483102    43.06888777416962
0/47.png:  -180.00000000000000  -177.18750000000000    43.06888777416962    40.97989806962013
0/48.png:  -180.00000000000000  -177.18750000000000    40.97989806962013    38.82259097617711
0/49.png:  -180.00000000000000  -177.18750000000000    38.82259097617711    36.59788913307020
0/50.png:  -180.00000000000000  -177.18750000000000    36.59788913307020    34.30714385628804
0/51.png:  -180.00000000000000  -177.18750000000000    34.30714385628804    31.95216223802497
0/52.png:  -180.00000000000000  -177.18750000000000    31.95216223802497    29.53522956294846
0/53.png:  -180.00000000000000  -177.18750000000000    29.53522956294846    27.05912578437405
0/54.png:  -180.00000000000000  -177.18750000000000    27.05912578437405    24.52713482259780
0/55.png:  -180.00000000000000  -177.18750000000000    24.52713482259780    21.94304553343817
0/56.png:  -180.00000000000000  -177.18750000000000    21.94304553343817    19.31114335506464
0/57.png:  -180.00000000000000  -177.18750000000000    19.31114335506464    16.63619187839766
0/58.png:  -180.00000000000000  -177.18750000000000    16.63619187839766    13.92340389772334
0/59.png:  -180.00000000000000  -177.18750000000000    13.92340389772334    11.17840187371178
0/60.png:  -180.00000000000000  -177.18750000000000    11.17840187371178     8.40716816360107
0/61.png:  -180.00000000000000  -177.18750000000000     8.40716816360107     5.61598581915533
0/62.png:  -180.00000000000000  -177.18750000000000     5.61598581915533     2.81137119333113
0/63.png:  -180.00000000000000  -177.18750000000000     2.81137119333113     0.00000000000000
0/64.png:  -180.00000000000000  -177.18750000000000     0.00000000000000    -2.81137119333113
0/65.png:  -180.00000000000000  -177.18750000000000    -2.81137119333113    -5.61598581915533
0/66.png:  -180.00000000000000  -177.18750000000000    -5.61598581915533    -8.40716816360107
0/67.png:  -180.00000000000000  -177.18750000000000    -8.40716816360107   -11.17840187371178
0/68.png:  -180.00000000000000  -177.18750000000000   -11.17840187371178   -13.92340389772334
0/69.png:  -180.00000000000000  -177.18750000000000   -13.92340389772334   -16.63619187839765
0/70.png:  -180.00000000000000  -177.18750000000000   -16.63619187839765   -19.31114335506464
0/71.png:  -180.00000000000000  -177.18750000000000   -19.31114335506464   -21.94304553343818
0/72.png:  -180.00000000000000  -177.18750000000000   -21.94304553343818   -24.52713482259780
0/73.png:  -180.00000000000000  -177.18750000000000   -24.52713482259780   -27.05912578437405
0/74.png:  -180.00000000000000  -177.18750000000000   -27.05912578437405   -29.53522956294846
0/75.png:  -180.00000000000000  -177.18750000000000   -29.53522956294846   -31.95216223802497
0/76.png:  -180.00000000000000  -177.18750000000000   -31.95216223802497   -34.30714385628804
0/77.png:  -180.00000000000000  -177.18750000000000   -34.30714385628804   -36.59788913307020
0/78.png:  -180.00000000000000  -177.18750000000000   -36.59788913307020   -38.82259097617711
0/79.png:  -180.00000000000000  -177.18750000000000   -38.82259097617711   -40.97989806962013
0/80.png:  -180.00000000000000  -177.18750000000000   -40.97989806962013   -43.06888777416962
0/81.png:  -180.00000000000000  -177.18750000000000   -43.06888777416962   -45.08903556483102
0/82.png:  -180.00000000000000  -177.18750000000000   -45.08903556483102   -47.04018214480666
0/83.png:  -180.00000000000000  -177.18750000000000   -47.04018214480666   -48.92249926375823
0/84.png:  -180.00000000000000  -177.18750000000000   -48.92249926375823   -50.73645513701065
0/85.png:  -180.00000000000000  -177.18750000000000   -50.73645513701065   -52.48278022207821
0/86.png:  -180.00000000000000  -177.18750000000000   -52.48278022207821   -54.16243396806781
0/87.png:  -180.00000000000000  -177.18750000000000   -54.16243396806781   -55.77657301866770
0/88.png:  -180.00000000000000  -177.18750000000000   -55.77657301866770   -57.32652122521708
0/89.png:  -180.00000000000000  -177.18750000000000   -57.32652122521708   -58.81374171570782
0/90.png:  -180.00000000000000  -177.18750000000000   -58.81374171570782   -60.23981116999892
0/91.png:  -180.00000000000000  -177.18750000000000   -60.23981116999892   -61.60639637138628
0/92.png:  -180.00000000000000  -177.18750000000000   -61.60639637138628   -62.91523303947613
0/93.png:  -180.00000000000000  -177.18750000000000   -62.91523303947613   -64.16810689799152
0/94.png:  -180.00000000000000  -177.18750000000000   -64.16810689799152   -65.36683689226321
0/95.png:  -180.00000000000000  -177.18750000000000   -65.36683689226321   -66.51326044311185
0/96.png:  -180.00000000000000  -177.18750000000000   -66.51326044311185   -67.60922060496382
0/97.png:  -180.00000000000000  -177.18750000000000   -67.60922060496382   -68.65655498475736
0/98.png:  -180.00000000000000  -177.18750000000000   -68.65655498475736   -69.65708627301174
0/99.png:  -180.00000000000000  -177.18750000000000   -69.65708627301174   -70.61261423801925
0/100.png:  -180.00000000000000  -177.18750000000000   -70.61261423801925   -71.52490903732816
0/101.png:  -180.00000000000000  -177.18750000000000   -71.52490903732816   -72.39570570653260
0/102.png:  -180.00000000000000  -177.18750000000000   -72.39570570653260   -73.22669969306126
0/103.png:  -180.00000000000000  -177.18750000000000   -73.22669969306126   -74.01954331150226
0/104.png:  -180.00000000000000  -177.18750000000000   -74.01954331150226   -74.77584300649234
0/105.png:  -180.00000000000000  -177.18750000000000   -74.77584300649234   -75.49715731893083
0/106.png:  -180.00000000000000  -177.18750000000000   -75.49715731893083   -76.18499546094714
0/107.png:  -180.00000000000000  -177.18750000000000   -76.18499546094714   -76.84081641443098
0/108.png:  -180.00000000000000  -177.18750000000000   -76.84081641443098   -77.46602847687329
0/109.png:  -180.00000000000000  -177.18750000000000   -77.46602847687329   -78.06198918665974
0/110.png:  -180.00000000000000  -177.18750000000000   -78.06198918665974   -78.63000556774837
0/111.png:  -180.00000000000000  -177.18750000000000   -78.63000556774837   -79.17133464081945
0/112.png:  -180.00000000000000  -177.18750000000000   -79.17133464081945   -79.68718415450822
0/113.png:  -180.00000000000000  -177.18750000000000   -79.68718415450822   -80.17871349622823
0/114.png:  -180.00000000000000  -177.18750000000000   -80.17871349622823   -80.64703474739616
0/115.png:  -180.00000000000000  -177.18750000000000   -80.64703474739616   -81.09321385260836
0/116.png:  -180.00000000000000  -177.18750000000000   -81.09321385260836   -81.51827187653380
0/117.png:  -180.00000000000000  -177.18750000000000   -81.51827187653380   -81.92318632602199
0/118.png:  -180.00000000000000  -177.18750000000000   -81.92318632602199   -82.30889251821552
0/119.png:  -180.00000000000000  -177.18750000000000   -82.30889251821552   -82.67628497834905
0/120.png:  -180.00000000000000  -177.18750000000000   -82.67628497834905   -83.02621885344844
0/121.png:  -180.00000000000000  -177.18750000000000   -83.02621885344844   -83.35951133035449
0/122.png:  -180.00000000000000  -177.18750000000000   -83.35951133035449   -83.67694304841552
0/123.png:  -180.00000000000000  -177.18750000000000   -83.67694304841552   -83.97925949886204
0/124.png:  -180.00000000000000  -177.18750000000000   -83.97925949886204   -84.26717240431667
0/125.png:  -180.00000000000000  -177.18750000000000   -84.26717240431667   -84.54136107313408
0/126.png:  -180.00000000000000  -177.18750000000000   -84.54136107313408   -84.80247372433449
0/127.png:  -180.00000000000000  -177.18750000000000   -84.80247372433449   -85.05112877980663
1/0.png:  -177.18750000000000  -174.37500000000000    85.05112877980663    84.80247372433449
1/1.png:  -177.18750000000000  -174.37500000000000    84.80247372433449    84.54136107313408
1/2.png:  -177.18750000000000  -174.37500000000000    84.54136107313408    84.26717240431667
1/3.png:  -177.18750000000000  -174.37500000000000    84.26717240431667    83.97925949886204
1/4.png:  -177.18750000000000  -174.37500000000000    83.97925949886204    83.67694304841552
1/5.png:  -177.18750000000000  -174.37500000000000    83.67694304841552    83.35951133035449
1/6.png:  -177.18750000000000  -174.37500000000000    83.35951133035449    83.02621885344844
1/7.png:  -177.18750000000000  -174.37500000000000    83.02621885344844    82.67628497834905
1/8.png:  -177.18750000000000  -174.37500000000000    82.67628497834905    82.30889251821552
1/9.png:  -177.18750000000000  -174.37500000000000    82.30889251821552    81.92318632602199
1/10.png:  -177.18750000000000  -174.37500000000000    81.92318632602199    81.51827187653380
1/11.png:  -177.18750000000000  -174.37500000000000    81.51827187653380    81.09321385260836
1/12.png:  -177.18750000000000  -174.37500000000000    81.09321385260836    80.64703474739616
1/13.png:  -177.18750000000000  -174.37500000000000    80.64703474739616    80.17871349622823
1/14.png:  -177.18750000000000  -174.37500000000000    80.17871349622823    79.68718415450822
1/15.png:  -177.18750000000000  -174.37500000000000    79.68718415450822    79.17133464081945
1/16.png:  -177.18750000000000  -174.37500000000000    79.17133464081945    78.63000556774837
1/17.png:  -177.18750000000000  -174.37500000000000    78.63000556774837    78.06198918665974
1/18.png:  -177.18750000000000  -174.37500000000000    78.06198918665974    77.46602847687329
1/19.png:  -177.18750000000000  -174.37500000000000    77.46602847687329    76.84081641443098
1/20.png:  -177.18750000000000  -174.37500000000000    76.84081641443098    76.18499546094714
1/21.png:  -177.18750000000000  -174.37500000000000    76.18499546094714    75.49715731893083
1/22.png:  -177.18750000000000  -174.37500000000000    75.49715731893083    74.77584300649234
1/23.png:  -177.18750000000000  -174.37500000000000    74.77584300649234    74.01954331150226
1/24.png:  -177.18750000000000  -174.37500000000000    74.01954331150226    73.22669969306126
1/25.png:  -177.18750000000000  -174.37500000000000    73.22669969306126    72.39570570653260
1/26.png:  -177.18750000000000  -174.37500000000000    72.39570570653260    71.52490903732816
1/27.png:  -177.18750000000000  -174.37500000000000    71.52490903732816    70.61261423801925
1/28.png:  -177.18750000000000  -174.37500000000000    70.61261423801925    69.65708627301174
1/29.png:  -177.18750000000000  -174.37500000000000    69.65708627301174    68.65655498475736
1/30.png:  -177.18750000000000  -174.37500000000000    68.65655498475736    67.60922060496381
1/31.png:  -177.18750000000000  -174.37500000000000    67.60922060496381    66.51326044311186
1/32.png:  -177.18750000000000  -174.37500000000000    66.51326044311186    65.36683689226321
1/33.png:  -177.18750000000000  -174.37500000000000    65.36683689226321    64.16810689799152
1/34.png:  -177.18750000000000  -174.37500000000000    64.16810689799152    62.91523303947613
1/35.png:  -177.18750000000000  -174.37500000000000    62.91523303947613    61.60639637138628
1/36.png:  -177.18750000000000  -174.37500000000000    61.60639637138628    60.23981116999892
1/37.png:  -177.18750000000000  -174.37500000000000    60.23981116999892    58.81374171570782
1/38.png:  -177.18750000000000  -174.37500000000000    58.81374171570782    57.32652122521708
1/39.png:  -177.18750000000000  -174.37500000000000    57.32652122521708    55.77657301866770
1/40.png:  -177.18750000000000  -174.37500000000000    55.77657301866770    54.16243396806779
1/41.png:  -177.18750000000000  -174.37500000000000    54.16243396806779    52.48278022207820
1/42.png:  -177.18750000000000  -174.37500000000000    52.48278022207820    50.73645513701065
1/43.png:  -177.18750000000000  -174.37500000000000    50.73645513701065    48.92249926375823
1/44.png:  -177.18750000000000  -174.37500000000000    48.92249926375823    47.04018214480666
1/45.png:  -177.18750000000000  -174.37500000000000    47.04018214480666    45.08903556483102
1/46.png:  -177.18750000000000  -174.37500000000000    45.08903556483102    43.06888777416962
1/47.png:  -177.18750000000000  -174.37500000000000    43.06888777416962    40.97989806962013
1/48.png:  -177.18750000000000  -174.37500000000000    40.97989806962013    38.82259097617711
1/49.png:  -177.18750000000000  -174.37500000000000    38.82259097617711    36.59788913307020
1/50.png:  -177.18750000000000  -174.37500000000000    36.59788913307020    34.30714385628804
1/51.png:  -177.18750000000000  -174.37500000000000    34.30714385628804    31.95216223802497
1/52.png:  -177.18750000000000  -174.37500000000000    31.95216223802497    29.53522956294846
1/53.png:  -177.18750000000000  -174.37500000000000    29.53522956294846    27.05912578437405
1/54.png:  -177.18750000000000  -174.37500000000000    27.05912578437405    24.52713482259780
1/55.png:  -177.18750000000000  -174.37500000000000    24.52713482259780    21.94304553343817
1/56.png:  -177.18750000000000  -174.37500000000000    21.94304553343817    19.31114335506464
1/57.png:  -177.18750000000000  -174.37500000000000    19.31114335506464    16.63619187839766
1/58.png:  -177.18750000000000  -174.37500000000000    16.63619187839766    13.92340389772334
1/59.png:  -177.18750000000000  -174.37500000000000    13.92340389772334    11.17840187371178
1/60.png:  -177.18750000000000  -174.37500000000000    11.17840187371178     8.40716816360107
1/61.png:  -177.18750000000000  -174.37500000000000     8.40716816360107     5.61598581915533
1/62.png:  -177.18750000000000  -174.37500000000000     5.61598581915533     2.81137119333113
1/63.png:  -177.18750000000000  -174.37500000000000     2.81137119333113     0.00000000000000
1/64.png:  -177.18750000000000  -174.37500000000000     0.00000000000000    -2.81137119333113
1/65.png:  -177.18750000000000  -174.37500000000000    -2.81137119333113    -5.61598581915533
1/66.png:  -177.18750000000000  -174.37500000000000    -5.61598581915533    -8.40716816360107
1/67.png:  -177.18750000000000  -174.37500000000000    -8.40716816360107   -11.17840187371178
1/68.png:  -177.18750000000000  -174.37500000000000   -11.17840187371178   -13.92340389772334
1/69.png:  -177.18750000000000  -174.37500000000000   -13.92340389772334   -16.63619187839765
1/70.png:  -177.18750000000000  -174.37500000000000   -16.63619187839765   -19.31114335506464
1/71.png:  -177.18750000000000  -174.37500000000000   -19.31114335506464   -21.94304553343818
1/72.png:  -177.18750000000000  -174.37500000000000   -21.94304553343818   -24.52713482259780
1/73.png:  -177.18750000000000  -174.37500000000000   -24.52713482259780   -27.05912578437405
1/74.png:  -177.18750000000000  -174.37500000000000   -27.05912578437405   -29.53522956294846
1/75.png:  -177.18750000000000  -174.37500000000000   -29.53522956294846   -31.95216223802497
1/76.png:  -177.18750000000000  -174.37500000000000   -31.95216223802497   -34.30714385628804
1/77.png:  -177.18750000000000  -174.37500000000000   -34.30714385628804   -36.59788913307020
1/78.png:  -177.18750000000000  -174.37500000000000   -36.59788913307020   -38.82259097617711
1/79.png:  -177.18750000000000  -174.37500000000000   -38.82259097617711   -40.97989806962013
1/80.png:  -177.18750000000000  -174.37500000000000   -40.97989806962013   -43.06888777416962
1/81.png:  -177.18750000000000  -174.37500000000000   -43.06888777416962   -45.08903556483102
1/82.png:  -177.18750000000000  -174.37500000000000   -45.08903556483102   -47.04018214480666
1/83.png:  -177.18750000000000  -174.37500000000000   -47.04018214480666   -48.92249926375823
1/84.png:  -177.18750000000000  -174.37500000000000   -48.92249926375823   -50.73645513701065
1/85.png:  -177.18750000000000  -174.37500000000000   -50.73645513701065   -52.48278022207821
1/86.png:  -177.18750000000000  -174.37500000000000   -52.48278022207821   -54.16243396806781
1/87.png:  -177.18750000000000  -174.37500000000000   -54.16243396806781   -55.77657301866770
1/88.png:  -177.18750000000000  -174.37500000000000   -55.77657301866770   -57.32652122521708
1/89.png:  -177.18750000000000  -174.37500000000000   -57.32652122521708   -58.81374171570782
1/90.png:  -177.18750000000000  -174.37500000000000   -58.81374171570782   -60.23981116999892
1/91.png:  -177.18750000000000  -174.37500000000000   -60.23981116999892   -61.60639637138628
1/92.png:  -177.18750000000000  -174.37500000000000   -61.60639637138628   -62.91523303947613
1/93.png:  -177.18750000000000  -174.37500000000000   -62.91523303947613   -64.16810689799152
1/94.png:  -177.18750000000000  -174.37500000000000   -64.16810689799152   -65.36683689226321
1/95.png:  -177.18750000000000  -174.37500000000000   -65.36683689226321   -66.51326044311185
1/96.png:  -177.18750000000000  -174.37500000000000   -66.51326044311185   -67.60922060496382
1/97.png:  -177.18750000000000  -174.37500000000000   -67.60922060496382   -68.65655498475736
1/98.png:  -177.18750000000000  -174.37500000000000   -68.65655498475736   -69.65708627301174
1/99.png:  -177.18750000000000  -174.37500000000000   -69.65708627301174   -70.61261423801925
1/100.png:  -177.18750000000000  -174.37500000000000   -70.61261423801925   -71.52490903732816
1/101.png:  -177.18750000000000  -174.37500000000000   -71.52490903732816   -72.39570570653260
1/102.png:  -177.18750000000000  -174.37500000000000   -72.39570570653260   -73.22669969306126
1/103.png:  -177.18750000000000  -174.37500000000000   -73.22669969306126   -74.01954331150226
1/104.png:  -177.18750000000000  -174.37500000000000   -74.01954331150226   -74.77584300649234
1/105.png:  -177.18750000000000  -174.37500000000000   -74.77584300649234   -75.49715731893083
1/106.png:  -177.18750000000000  -174.37500000000000   -75.49715731893083   -76.18499546094714
1/107.png:  -177.18750000000000  -174.37500000000000   -76.18499546094714   -76.84081641443098
1/108.png:  -177.18750000000000  -174.37500000000000   -76.84081641443098   -77.46602847687329
1/109.png:  -177.18750000000000  -174.37500000000000   -77.46602847687329   -78.06198918665974
1/110.png:  -177.18750000000000  -174.37500000000000   -78.06198918665974   -78.63000556774837
1/111.png:  -177.18750000000000  -174.37500000000000   -78.63000556774837   -79.17133464081945
1/112.png:  -177.18750000000000  -174.37500000000000   -79.17133464081945   -79.68718415450822
1/113.png:  -177.18750000000000  -174.37500000000000   -79.68718415450822   -80.17871349622823
1/114.png:  -177.18750000000000  -174.37500000000000   -80.17871349622823   -80.64703474739616
1/115.png:  -177.18750000000000  -174.37500000000000   -80.64703474739616   -81.09321385260836
1/116.png:  -177.18750000000000  -174.37500000000000   -81.09321385260836   -81.51827187653380
1/117.png:  -177.18750000000000  -174.37500000000000   -81.51827187653380   -81.92318632602199
1/118.png:  -177.18750000000000  -174.37500000000000   -81.92318632602199   -82.30889251821552
1/119.png:  -177.18750000000000  -174.37500000000000   -82.30889251821552   -82.67628497834905
1/120.png:  -177.18750000000000  -174.37500000000000   -82.67628497834905   -83.02621885344844
1/121.png:  -177.18750000000000  -174.37500000000000   -83.02621885344844   -83.35951133035449
1/122.png:  -177.18750000000000  -174.37500000000000   -83.35951133035449   -83.67694304841552
1/123.png:  -177.18750000000000  -174.37500000000000   -83.67694304841552   -83.97925949886204
1/124.png:  -177.18750000000000  -174.37500000000000   -83.97925949886204   -84.26717240431667
1/125.png:  -177.18750000000000  -174.37500000000000   -84.26717240431667   -84.54136107313408
1/126.png:  -177.18750000000000  -174.37500000000000   -84.54136107313408   -84.80247372433449
1/127.png:  -177.18750000000000  -174.37500000000000   -84.80247372433449   -85.05112877980663
2/0.png:  -174.37500000000000  -171.56250000000000    85.05112877980663    84.80247372433449
2/1.png:  -174.37500000000000  -171.56250000000000    84.80247372433449    84.54136107313408
2/2.png:  -174.37500000000000  -171.56250000000000    84.54136107313408    84.26717240431667
2/3.png:  -174.37500000000000  -171.56250000000000    84.26717240431667    83.97925949886204
2/4.png:  -174.37500000000000  -171.56250000000000    83.97925949886204    83.67694304841552
2/5.png:  -174.37500000000000  -171.56250000000000    83.67694304841552    83.35951133035449
2/6.png:  -174.37500000000000  -171.56250000000000    83.35951133035449    83.02621885344844
2/7.png:  -174.37500000000000  -171.56250000000000    83.02621885344844    82.67628497834905
